"id","agegroup","trialnum","horizons","config","reward_posA","reward_posB","reward_posC","reward_posD","state_posA","state_posB","state_posC","state_posD","reward_colour","smallest","med","large","largest","horizons_known","freechoice_resp.clicked_name","reward_trial","reward_gain","info_gain","reward_total","date","expName","info_gain_list","reward_gain_list","reward_max","reward_gain1","reward_gain2","reward_gain3","reward_gain4","agegroup11","agegroupa","agegroup5","info_gainX","horizons_all","h_long","h_short","h_amb","maxIndex","maxState","max_choice","reward_exploit","exploreIndex","reward_explore","reward_gain_max","uniqueRewards","reward_max_sum","reward_max_avg","largestSeen","largestSeen_sum","largestSeen_avg","exploitMaxAvgDiff","prevExploreReward","choice1","choice2","choice3","choice4","searchPattern","choice_num","explore","prop_max_reward","max_reward_selected","largestVisible","exploit","other","choiceType","choice1_exploitOnly","choice2_exploreFirstThenExploit","choice3_exploreFirstMixed","choice4_exploreFirstSampleRest","choice5_sampleAll","choice6_misc"
"SearchCosts-Adult_S025","Adult",2,1,"F","1.9499"," 0.62"," 4.777255"," 1.054","0"," 1"," 0"," -1","orange",0.62,1.054,1.9499,4.777255,1,"['free_choice_targetc']",11.50441,4.777255,"[0]",86.77988,"2019_Nov_21_1429","TimeSearch_190603","[0]","[4.777255]",4.777255,4.777255,NA,NA,NA,0,1,0,NA,1,0,1,0,3,0,"exploit",4.777255,2,0.62,4.777255,1,10.075285,5.0376425,4.777255,10.075285,5.0376425,-0.2603875,1.369,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,1,1,4.777255,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",3,4,"F","0.33"," 0.726"," 0.2"," 1.2342","0"," 0"," 1"," -1","blue",0.2,0.33,0.726,1.2342,1,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targetd', 'free_choice_targetd']",4.9586,0.2,"[1, 0, 0, 0]",91.73848,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[0.2, 1.2342, 1.2342, 1.2342]",4.9368,0.2,1.2342,1.2342,1.2342,0,1,0,1,4,1,0,0,4,-1,"exploit",1.2342,3,0.2,1.2342,2,11.309485,3.76982833333333,1.2342,11.309485,3.76982833333333,-2.53562833333333,0.62,"explore","exploit","exploit","exploit","explore, exploit, exploit, exploit","1",1,0.162048290390536,0,1.2342,0,0,"explore",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",3,4,"F","0.33"," 0.726"," 0.2"," 1.2342","0"," 0"," 1"," -1","blue",0.2,0.33,0.726,1.2342,1,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targetd', 'free_choice_targetd']",4.9586,1.2342,"[1, 0, 0, 0]",91.73848,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[0.2, 1.2342, 1.2342, 1.2342]",4.9368,0.2,1.2342,1.2342,1.2342,0,1,0,1,4,1,0,0,4,-1,"exploit",1.2342,3,0.2,1.2342,2,11.309485,3.76982833333333,1.2342,11.309485,3.76982833333333,-2.53562833333333,0.62,"explore","exploit","exploit","exploit","explore, exploit, exploit, exploit","2",0,0.162048290390536,0,1.2342,1,0,"exploit",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",3,4,"F","0.33"," 0.726"," 0.2"," 1.2342","0"," 0"," 1"," -1","blue",0.2,0.33,0.726,1.2342,1,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targetd', 'free_choice_targetd']",4.9586,1.2342,"[1, 0, 0, 0]",91.73848,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[0.2, 1.2342, 1.2342, 1.2342]",4.9368,0.2,1.2342,1.2342,1.2342,0,1,0,1,4,1,0,0,4,-1,"exploit",1.2342,3,0.2,1.2342,2,11.309485,3.76982833333333,1.2342,11.309485,3.76982833333333,-2.53562833333333,0.62,"explore","exploit","exploit","exploit","explore, exploit, exploit, exploit","3",0,0.162048290390536,0,1.2342,1,0,"exploit",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",3,4,"F","0.33"," 0.726"," 0.2"," 1.2342","0"," 0"," 1"," -1","blue",0.2,0.33,0.726,1.2342,1,"['free_choice_targetc', 'free_choice_targetd', 'free_choice_targetd', 'free_choice_targetd']",4.9586,1.2342,"[1, 0, 0, 0]",91.73848,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[0.2, 1.2342, 1.2342, 1.2342]",4.9368,0.2,1.2342,1.2342,1.2342,0,1,0,1,4,1,0,0,4,-1,"exploit",1.2342,3,0.2,1.2342,2,11.309485,3.76982833333333,1.2342,11.309485,3.76982833333333,-2.53562833333333,0.62,"explore","exploit","exploit","exploit","explore, exploit, exploit, exploit","4",0,0.162048290390536,0,1.2342,1,0,"exploit",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",4,4,"G","4.44185"," 1.813"," 7.10696"," 0.74","1"," -1"," 0"," 0","purple",0.74,1.813,4.44185,7.10696,1,"['free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc']",36.2748,7.10696,"[0, 0, 0, 0]",128.01328,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[7.10696, 7.10696, 7.10696, 7.10696]",28.42784,7.10696,7.10696,7.10696,7.10696,0,1,0,NA,4,1,0,0,3,0,"exploit",7.10696,1,4.44185,7.10696,1,18.416445,4.60411125,7.10696,18.416445,4.60411125,2.50284875,0.2,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","1",0,1,1,7.10696,1,0,"exploit",1,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",4,4,"G","4.44185"," 1.813"," 7.10696"," 0.74","1"," -1"," 0"," 0","purple",0.74,1.813,4.44185,7.10696,1,"['free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc']",36.2748,7.10696,"[0, 0, 0, 0]",128.01328,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[7.10696, 7.10696, 7.10696, 7.10696]",28.42784,7.10696,7.10696,7.10696,7.10696,0,1,0,NA,4,1,0,0,3,0,"exploit",7.10696,1,4.44185,7.10696,1,18.416445,4.60411125,7.10696,18.416445,4.60411125,2.50284875,0.2,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","2",0,1,1,7.10696,1,0,"exploit",1,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",4,4,"G","4.44185"," 1.813"," 7.10696"," 0.74","1"," -1"," 0"," 0","purple",0.74,1.813,4.44185,7.10696,1,"['free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc']",36.2748,7.10696,"[0, 0, 0, 0]",128.01328,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[7.10696, 7.10696, 7.10696, 7.10696]",28.42784,7.10696,7.10696,7.10696,7.10696,0,1,0,NA,4,1,0,0,3,0,"exploit",7.10696,1,4.44185,7.10696,1,18.416445,4.60411125,7.10696,18.416445,4.60411125,2.50284875,0.2,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","3",0,1,1,7.10696,1,0,"exploit",1,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",4,4,"G","4.44185"," 1.813"," 7.10696"," 0.74","1"," -1"," 0"," 0","purple",0.74,1.813,4.44185,7.10696,1,"['free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc']",36.2748,7.10696,"[0, 0, 0, 0]",128.01328,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[7.10696, 7.10696, 7.10696, 7.10696]",28.42784,7.10696,7.10696,7.10696,7.10696,0,1,0,NA,4,1,0,0,3,0,"exploit",7.10696,1,4.44185,7.10696,1,18.416445,4.60411125,7.10696,18.416445,4.60411125,2.50284875,0.2,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","4",0,1,1,7.10696,1,0,"exploit",1,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",5,4,"F","0.32"," 3.55696"," 0.752"," 1.6544","0"," -1"," 1"," 0","green",0.32,0.752,1.6544,3.55696,0,"['free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",16.20224,3.55696,"[0, 0, 0, 0]",144.21552,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[3.55696, 3.55696, 3.55696, 3.55696]",14.22784,3.55696,3.55696,3.55696,3.55696,0,1,0,NA,0,0,0,1,2,-1,"exploit",3.55696,3,0.752,3.55696,1,21.973405,4.394681,3.55696,21.973405,4.394681,-0.837721,4.44185,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","1",0,1,1,3.55696,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",5,4,"F","0.32"," 3.55696"," 0.752"," 1.6544","0"," -1"," 1"," 0","green",0.32,0.752,1.6544,3.55696,0,"['free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",16.20224,3.55696,"[0, 0, 0, 0]",144.21552,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[3.55696, 3.55696, 3.55696, 3.55696]",14.22784,3.55696,3.55696,3.55696,3.55696,0,1,0,NA,0,0,0,1,2,-1,"exploit",3.55696,3,0.752,3.55696,1,21.973405,4.394681,3.55696,21.973405,4.394681,-0.837721,4.44185,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","2",0,1,1,3.55696,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",5,4,"F","0.32"," 3.55696"," 0.752"," 1.6544","0"," -1"," 1"," 0","green",0.32,0.752,1.6544,3.55696,0,"['free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",16.20224,3.55696,"[0, 0, 0, 0]",144.21552,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[3.55696, 3.55696, 3.55696, 3.55696]",14.22784,3.55696,3.55696,3.55696,3.55696,0,1,0,NA,0,0,0,1,2,-1,"exploit",3.55696,3,0.752,3.55696,1,21.973405,4.394681,3.55696,21.973405,4.394681,-0.837721,4.44185,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","3",0,1,1,3.55696,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",5,4,"F","0.32"," 3.55696"," 0.752"," 1.6544","0"," -1"," 1"," 0","green",0.32,0.752,1.6544,3.55696,0,"['free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",16.20224,3.55696,"[0, 0, 0, 0]",144.21552,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[3.55696, 3.55696, 3.55696, 3.55696]",14.22784,3.55696,3.55696,3.55696,3.55696,0,1,0,NA,0,0,0,1,2,-1,"exploit",3.55696,3,0.752,3.55696,1,21.973405,4.394681,3.55696,21.973405,4.394681,-0.837721,4.44185,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","4",0,1,1,3.55696,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",6,1,"F","2.07"," 3.519"," 5.6304"," 0.9","0"," -1"," 0"," 1","red",0.9,2.07,3.519,5.6304,1,"['free_choice_targetc']",13.3308,5.6304,"[0]",157.54632,"2019_Nov_21_1429","TimeSearch_190603","[0]","[5.6304]",5.6304,5.6304,NA,NA,NA,0,1,0,NA,1,0,1,0,3,0,"exploit",5.6304,4,0.9,5.6304,1,27.603805,4.60063416666667,5.6304,27.603805,4.60063416666667,1.02976583333333,0.752,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,1,1,5.6304,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",7,1,"G","7.383075"," 0.98"," 4.92205"," 2.009","1"," 0"," -1"," 0","purple",0.98,2.009,4.92205,7.383075,1,"['free_choice_targetc']",7.91105,4.92205,"[0]",165.45737,"2019_Nov_21_1429","TimeSearch_190603","[0]","[4.92205]",7.383075,4.92205,NA,NA,NA,0,1,0,NA,1,0,1,0,1,1,"explore",4.92205,1,7.383075,4.92205,1,32.525855,4.64655071428571,4.92205,32.525855,4.64655071428571,0.275499285714285,0.9,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,0.666666666666667,0,4.92205,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",8,4,"G","0.67"," 2.293075"," 3.78357375"," 1.2395","0"," 1"," -1"," 0","brown",0.67,1.2395,2.293075,3.78357375,0,"['free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc']",17.043795,3.78357375,"[0, 0, 0, 0]",182.501165,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[3.78357375, 3.78357375, 3.78357375, 3.78357375]",15.134295,3.78357375,3.78357375,3.78357375,3.78357375,0,1,0,NA,0,0,0,1,3,-1,"exploit",3.78357375,2,2.293075,3.78357375,1,36.30942875,4.53867859375,3.78357375,36.30942875,4.53867859375,-0.75510484375,7.383075,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","1",0,1,1,3.78357375,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",8,4,"G","0.67"," 2.293075"," 3.78357375"," 1.2395","0"," 1"," -1"," 0","brown",0.67,1.2395,2.293075,3.78357375,0,"['free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc']",17.043795,3.78357375,"[0, 0, 0, 0]",182.501165,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[3.78357375, 3.78357375, 3.78357375, 3.78357375]",15.134295,3.78357375,3.78357375,3.78357375,3.78357375,0,1,0,NA,0,0,0,1,3,-1,"exploit",3.78357375,2,2.293075,3.78357375,1,36.30942875,4.53867859375,3.78357375,36.30942875,4.53867859375,-0.75510484375,7.383075,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","2",0,1,1,3.78357375,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",8,4,"G","0.67"," 2.293075"," 3.78357375"," 1.2395","0"," 1"," -1"," 0","brown",0.67,1.2395,2.293075,3.78357375,0,"['free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc']",17.043795,3.78357375,"[0, 0, 0, 0]",182.501165,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[3.78357375, 3.78357375, 3.78357375, 3.78357375]",15.134295,3.78357375,3.78357375,3.78357375,3.78357375,0,1,0,NA,0,0,0,1,3,-1,"exploit",3.78357375,2,2.293075,3.78357375,1,36.30942875,4.53867859375,3.78357375,36.30942875,4.53867859375,-0.75510484375,7.383075,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","3",0,1,1,3.78357375,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",8,4,"G","0.67"," 2.293075"," 3.78357375"," 1.2395","0"," 1"," -1"," 0","brown",0.67,1.2395,2.293075,3.78357375,0,"['free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc', 'free_choice_targetc']",17.043795,3.78357375,"[0, 0, 0, 0]",182.501165,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[3.78357375, 3.78357375, 3.78357375, 3.78357375]",15.134295,3.78357375,3.78357375,3.78357375,3.78357375,0,1,0,NA,0,0,0,1,3,-1,"exploit",3.78357375,2,2.293075,3.78357375,1,36.30942875,4.53867859375,3.78357375,36.30942875,4.53867859375,-0.75510484375,7.383075,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","4",0,1,1,3.78357375,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",9,1,"F","0.54"," 3.564"," 1.188"," 2.376","0"," 0"," -1"," 1","blue",0.54,1.188,2.376,3.564,0,"['free_choice_targetb']",7.668,3.564,"[0]",190.169165,"2019_Nov_21_1429","TimeSearch_190603","[0]","[3.564]",3.564,3.564,NA,NA,NA,0,1,0,NA,0,0,0,1,2,0,"exploit",3.564,4,2.376,3.564,1,39.87342875,4.43038097222222,3.564,39.87342875,4.43038097222222,-0.866380972222222,2.293075,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,1,1,3.564,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",10,4,"G","0.49"," 3.55005"," 1.97225"," 0.8575","-1"," 1"," 0"," 0","magenta",0.49,0.8575,1.97225,3.55005,1,"['free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",17.02995,3.55005,"[1, 0, 0, 0]",207.199115,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[3.55005, 3.55005, 3.55005, 3.55005]",14.2002,3.55005,3.55005,3.55005,3.55005,0,1,0,1,4,1,0,0,2,1,"explore",1.97225,2,3.55005,3.55005,1,43.42347875,4.342347875,3.55005,43.42347875,4.342347875,-2.370097875,2.376,"explore","other","other","other","explore, other, other, other","1",1,1,1,1.97225,0,0,"explore",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",10,4,"G","0.49"," 3.55005"," 1.97225"," 0.8575","-1"," 1"," 0"," 0","magenta",0.49,0.8575,1.97225,3.55005,1,"['free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",17.02995,3.55005,"[1, 0, 0, 0]",207.199115,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[3.55005, 3.55005, 3.55005, 3.55005]",14.2002,3.55005,3.55005,3.55005,3.55005,0,1,0,1,4,1,0,0,2,1,"explore",1.97225,2,3.55005,3.55005,1,43.42347875,4.342347875,3.55005,43.42347875,4.342347875,-2.370097875,2.376,"explore","other","other","other","explore, other, other, other","2",0,1,1,3.55005,1,0,"exploit",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",10,4,"G","0.49"," 3.55005"," 1.97225"," 0.8575","-1"," 1"," 0"," 0","magenta",0.49,0.8575,1.97225,3.55005,1,"['free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",17.02995,3.55005,"[1, 0, 0, 0]",207.199115,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[3.55005, 3.55005, 3.55005, 3.55005]",14.2002,3.55005,3.55005,3.55005,3.55005,0,1,0,1,4,1,0,0,2,1,"explore",1.97225,2,3.55005,3.55005,1,43.42347875,4.342347875,3.55005,43.42347875,4.342347875,-2.370097875,2.376,"explore","other","other","other","explore, other, other, other","3",0,1,1,3.55005,1,0,"exploit",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",10,4,"G","0.49"," 3.55005"," 1.97225"," 0.8575","-1"," 1"," 0"," 0","magenta",0.49,0.8575,1.97225,3.55005,1,"['free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",17.02995,3.55005,"[1, 0, 0, 0]",207.199115,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[3.55005, 3.55005, 3.55005, 3.55005]",14.2002,3.55005,3.55005,3.55005,3.55005,0,1,0,1,4,1,0,0,2,1,"explore",1.97225,2,3.55005,3.55005,1,43.42347875,4.342347875,3.55005,43.42347875,4.342347875,-2.370097875,2.376,"explore","other","other","other","explore, other, other, other","4",0,1,1,3.55005,1,0,"exploit",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",11,4,"G","5.27904"," 0.78"," 1.248"," 2.9328","-1"," 0"," 1"," 0","bluedark",0.78,1.248,2.9328,5.27904,1,"['free_choice_targeta', 'free_choice_targeta', 'free_choice_targeta', 'free_choice_targeta']",24.82896,5.27904,"[0, 0, 0, 0]",232.028075,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[5.27904, 5.27904, 5.27904, 5.27904]",21.11616,5.27904,5.27904,5.27904,5.27904,0,1,0,NA,4,1,0,0,1,-1,"exploit",5.27904,3,1.248,5.27904,1,48.70251875,4.42750170454546,5.27904,48.70251875,4.42750170454546,0.851538295454545,3.55005,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","1",0,1,1,5.27904,1,0,"exploit",1,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",11,4,"G","5.27904"," 0.78"," 1.248"," 2.9328","-1"," 0"," 1"," 0","bluedark",0.78,1.248,2.9328,5.27904,1,"['free_choice_targeta', 'free_choice_targeta', 'free_choice_targeta', 'free_choice_targeta']",24.82896,5.27904,"[0, 0, 0, 0]",232.028075,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[5.27904, 5.27904, 5.27904, 5.27904]",21.11616,5.27904,5.27904,5.27904,5.27904,0,1,0,NA,4,1,0,0,1,-1,"exploit",5.27904,3,1.248,5.27904,1,48.70251875,4.42750170454546,5.27904,48.70251875,4.42750170454546,0.851538295454545,3.55005,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","2",0,1,1,5.27904,1,0,"exploit",1,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",11,4,"G","5.27904"," 0.78"," 1.248"," 2.9328","-1"," 0"," 1"," 0","bluedark",0.78,1.248,2.9328,5.27904,1,"['free_choice_targeta', 'free_choice_targeta', 'free_choice_targeta', 'free_choice_targeta']",24.82896,5.27904,"[0, 0, 0, 0]",232.028075,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[5.27904, 5.27904, 5.27904, 5.27904]",21.11616,5.27904,5.27904,5.27904,5.27904,0,1,0,NA,4,1,0,0,1,-1,"exploit",5.27904,3,1.248,5.27904,1,48.70251875,4.42750170454546,5.27904,48.70251875,4.42750170454546,0.851538295454545,3.55005,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","3",0,1,1,5.27904,1,0,"exploit",1,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",11,4,"G","5.27904"," 0.78"," 1.248"," 2.9328","-1"," 0"," 1"," 0","bluedark",0.78,1.248,2.9328,5.27904,1,"['free_choice_targeta', 'free_choice_targeta', 'free_choice_targeta', 'free_choice_targeta']",24.82896,5.27904,"[0, 0, 0, 0]",232.028075,"2019_Nov_21_1429","TimeSearch_190603","[0, 0, 0, 0]","[5.27904, 5.27904, 5.27904, 5.27904]",21.11616,5.27904,5.27904,5.27904,5.27904,0,1,0,NA,4,1,0,0,1,-1,"exploit",5.27904,3,1.248,5.27904,1,48.70251875,4.42750170454546,5.27904,48.70251875,4.42750170454546,0.851538295454545,3.55005,"exploit","exploit","exploit","exploit","exploit, exploit, exploit, exploit","4",0,1,1,5.27904,1,0,"exploit",1,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",12,1,"G","0.6"," 2.829"," 1.38"," 5.3751","-1"," 0"," 0"," 1","brown",0.6,1.38,2.829,5.3751,1,"['free_choice_targetb']",7.038,2.829,"[0]",239.066075,"2019_Nov_21_1429","TimeSearch_190603","[0]","[2.829]",5.3751,2.829,NA,NA,NA,0,1,0,NA,1,0,1,0,4,1,"explore",2.829,4,5.3751,2.829,1,51.53151875,4.29429322916667,2.829,51.53151875,4.29429322916667,-1.46529322916667,1.248,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,0.526315789473684,0,2.829,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",13,1,"F","1.24"," 2.666"," 4.7988"," 0.8","1"," 0"," 0"," -1","yellow",0.8,1.24,2.666,4.7988,1,"['free_choice_targetc']",12.2636,4.7988,"[0]",251.329675,"2019_Nov_21_1429","TimeSearch_190603","[0]","[4.7988]",4.7988,4.7988,NA,NA,NA,0,1,0,NA,1,0,1,0,3,0,"exploit",4.7988,1,1.24,4.7988,1,56.33031875,4.33310144230769,4.7988,56.33031875,4.33310144230769,0.465698557692307,5.3751,"exploit",NA,NA,NA,"exploit, NA, NA, NA","1",0,1,1,4.7988,1,0,"exploit",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",14,1,"G","1.0065"," 1.50975"," 0.61"," 3.170475","0"," 1"," 0"," -1","yellow",0.61,1.0065,1.50975,3.170475,0,"['free_choice_targetb']",3.12625,1.50975,"[1]",254.455925,"2019_Nov_21_1429","TimeSearch_190603","[1]","[1.50975]",3.170475,1.50975,NA,NA,NA,0,1,0,1,0,0,0,1,4,-1,"exploit",3.170475,2,1.50975,1.50975,1,57.84006875,4.13143348214286,3.170475,59.50079375,4.25005669642857,-1.07958169642857,1.24,"explore",NA,NA,NA,"explore, NA, NA, NA","1",1,0.476190476190476,0,3.170475,0,0,"explore",0,0,0,0,0,0
"SearchCosts-Adult_S025","Adult",15,4,"F","0.98"," 4.5864"," 0.4"," 1.911","0"," 0"," 1"," -1","magenta",0.4,0.98,1.911,4.5864,1,"['free_choice_targetc', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",19.7256,0.4,"[1, 0, 0, 0]",274.181525,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[0.4, 4.5864, 4.5864, 4.5864]",18.3456,0.4,4.5864,4.5864,4.5864,0,1,0,1,4,1,0,0,2,0,"exploit",4.5864,3,0.4,4.5864,2,62.42646875,4.16176458333333,4.5864,64.08719375,4.27247958333333,0.313920416666666,1.50975,"explore","exploit","exploit","exploit","explore, exploit, exploit, exploit","1",1,0.0872143729286586,0,4.5864,0,0,"explore",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",15,4,"F","0.98"," 4.5864"," 0.4"," 1.911","0"," 0"," 1"," -1","magenta",0.4,0.98,1.911,4.5864,1,"['free_choice_targetc', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",19.7256,4.5864,"[1, 0, 0, 0]",274.181525,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[0.4, 4.5864, 4.5864, 4.5864]",18.3456,0.4,4.5864,4.5864,4.5864,0,1,0,1,4,1,0,0,2,0,"exploit",4.5864,3,0.4,4.5864,2,62.42646875,4.16176458333333,4.5864,64.08719375,4.27247958333333,0.313920416666666,1.50975,"explore","exploit","exploit","exploit","explore, exploit, exploit, exploit","2",0,0.0872143729286586,0,4.5864,1,0,"exploit",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",15,4,"F","0.98"," 4.5864"," 0.4"," 1.911","0"," 0"," 1"," -1","magenta",0.4,0.98,1.911,4.5864,1,"['free_choice_targetc', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",19.7256,4.5864,"[1, 0, 0, 0]",274.181525,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[0.4, 4.5864, 4.5864, 4.5864]",18.3456,0.4,4.5864,4.5864,4.5864,0,1,0,1,4,1,0,0,2,0,"exploit",4.5864,3,0.4,4.5864,2,62.42646875,4.16176458333333,4.5864,64.08719375,4.27247958333333,0.313920416666666,1.50975,"explore","exploit","exploit","exploit","explore, exploit, exploit, exploit","3",0,0.0872143729286586,0,4.5864,1,0,"exploit",0,1,0,0,0,0
"SearchCosts-Adult_S025","Adult",15,4,"F","0.98"," 4.5864"," 0.4"," 1.911","0"," 0"," 1"," -1","magenta",0.4,0.98,1.911,4.5864,1,"['free_choice_targetc', 'free_choice_targetb', 'free_choice_targetb', 'free_choice_targetb']",19.7256,4.5864,"[1, 0, 0, 0]",274.181525,"2019_Nov_21_1429","TimeSearch_190603","[1, 0, 0, 0]","[0.4, 4.5864, 4.5864, 4.5864]",18.3456,0.4,4.5864,4.5864,4.5864,0,1,0,1,4,1,0,0,2,0,"exploit",4.5864,3,0.4,4.5864,2,62.42646875,4.16176458333333,4.5864,64.08719375,4.27247958333333,0.313920416666666,1.50975,"explore","exploit","exploit","exploit","explore, exploit, exploit, exploit","4",0,0.0872143729286586,0,4.5864,1,0,"exploit",0,1,0,0,0,0
